Project Name,MSA2A Trenches,,,
Location,Site A - North Section,,,
Start Date,2025-01-15,,,
,,,,
Phase,Subphase,Budget Hours,Budget Quantity,Unit
Site Preparation,Clear & Grub,8,1,ea
Site Preparation,Layout & Stake,4,1,ea
Excavation,Foundation Excavation,16,150,cy
Excavation,Footing Trenches,12,200,ft
Foundation,Form Footings,24,200,ft
Foundation,Pour Footings,8,25,cy
Foundation,Form Walls,32,800,sf
Foundation,Pour Walls,12,40,cy
Trenching,Trench 1,26,100,ft
Trenching,Trench 2,26,100,ft
Trenching,Trench 3,26,100,ft
Concrete Work,Pour Slab,16,75,cy
Concrete Work,Finish Concrete,24,5000,sf
Concrete Work,Cure & Protect,4,5000,sf
